class_id,class_name,count
1,001.Black_footed_Albatross,60
2,002.Laysan_Albatross,60
3,003.Sooty_Albatross,58
4,004.Groove_billed_Ani,60
5,005.Crested_Auklet,44
6,006.Least_Auklet,41
7,007.Parakeet_Auklet,53
8,008.Rhinoceros_Auklet,48
9,009.Brewer_Blackbird,59
10,010.Red_winged_Blackbird,60
11,011.Rusty_Blackbird,60
12,012.Yellow_headed_Blackbird,56
13,013.Bobolink,60
14,014.Indigo_Bunting,60
15,015.Lazuli_Bunting,58
16,016.Painted_Bunting,58
17,017.Cardinal,57
18,018.Spotted_Catbird,45
19,019.Gray_Catbird,59
20,020.Yellow_breasted_Chat,59
21,021.Eastern_Towhee,60
22,022.Chuck_will_Widow,56
23,023.Brandt_Cormorant,59
24,024.Red_faced_Cormorant,52
25,025.Pelagic_Cormorant,60
26,026.Bronzed_Cowbird,60
27,027.Shiny_Cowbird,60
28,028.Brown_Creeper,59
29,029.American_Crow,60
30,030.Fish_Crow,60
31,031.Black_billed_Cuckoo,60
32,032.Mangrove_Cuckoo,53
33,033.Yellow_billed_Cuckoo,59
34,034.Gray_crowned_Rosy_Finch,59
35,035.Purple_Finch,60
36,036.Northern_Flicker,60
37,037.Acadian_Flycatcher,59
38,038.Great_Crested_Flycatcher,60
39,039.Least_Flycatcher,59
40,040.Olive_sided_Flycatcher,60
41,041.Scissor_tailed_Flycatcher,60
42,042.Vermilion_Flycatcher,60
43,043.Yellow_bellied_Flycatcher,59
44,044.Frigatebird,60
45,045.Northern_Fulmar,60
46,046.Gadwall,60
47,047.American_Goldfinch,60
48,048.European_Goldfinch,60
49,049.Boat_tailed_Grackle,60
50,050.Eared_Grebe,60
